policy,n_trades,gross_pnl,fees,net_pnl,net_per_trade,n_days,stress_axis,stress_level
cost_aware,60,3.4417589706348295,0.0,3.4417589706348295,0.05736264951058049,1,fee_bps,0.0
cost_aware,60,3.4417589706348295,11.993865800339574,-8.552106829704742,-0.14253511382841239,1,fee_bps,1.0
cost_aware,60,3.4417589706348295,23.987731600679147,-20.545972630044314,-0.3424328771674052,1,fee_bps,2.0
cost_aware,60,3.4417589706348295,59.96932900169786,-56.52757003106303,-0.9421261671843838,1,fee_bps,5.0
cost_aware,60,3.4417589706348295,119.93865800339572,-116.49689903276091,-1.9416149838793484,1,fee_bps,10.0
cost_aware,65,18.000903149842497,12.99272846431539,5.008174685527105,0.07704884131580161,1,latency_rows,0.0
cost_aware,60,3.4417589706348295,11.993865800339574,-8.552106829704742,-0.14253511382841239,1,latency_rows,1.0
cost_aware,42,-1.609425398346315,8.396202323107993,-10.005627721454307,-0.23822923146319777,1,latency_rows,5.0
cost_aware,30,-3.250852171699321,5.997763302280262,-9.248615473979584,-0.30828718246598613,1,latency_rows,10.0
cost_aware,60,3.4417589706348295,11.993865800339574,-8.552106829704742,-0.14253511382841239,1,spread_multiplier,1.0
cost_aware,60,-11.831636315100573,11.994045043462032,-23.82568135856261,-0.3970946893093768,1,spread_multiplier,1.5
cost_aware,60,-27.105031600836604,11.994224286584496,-39.09925588742111,-0.6516542647903518,1,spread_multiplier,2.0
cost_aware,60,3.4417589706348295,11.993865800339574,-8.552106829704742,-0.14253511382841239,1,depth_multiplier,1.0
cost_aware,60,3.4417589706348295,11.993865800339574,-8.552106829704742,-0.14253511382841239,1,depth_multiplier,0.75
cost_aware,60,3.4417589706348295,11.993865800339574,-8.552106829704742,-0.14253511382841239,1,depth_multiplier,0.5
